,0
0,155.0
1,162.0
2,154.0
3,442.0
4,4699.0
5,56348.0
6,54399.0
7,54880.0
8,54825.0
9,5068.0
10,54208.0
11,52855.0
12,54316.0
13,54508.0
14,54133.0
15,54084.0
16,5056.0
17,51712.0
18,53629.0
19,53808.0
20,51503.0
21,53858.0
22,49479.0
23,53601.0
24,53907.0
25,53013.0
26,53420.0
27,53431.0
28,54014.0
29,5085.0
30,53119.0
31,53215.0
32,53705.0
33,52963.0
34,53718.0
35,53721.0
36,5086.0
37,53740.0
38,53721.0
39,53696.0
40,53763.0
41,53409.0
42,53774.0
43,5050.0
44,53295.0
45,53850.0
46,52801.0
47,53519.0
48,53322.0
49,50528.0
50,53984.0
51,53625.0
52,53363.0
53,53258.0
54,53185.0
55,53563.0
56,5050.0
57,53748.0
58,53672.0
59,53915.0
60,53784.0
61,53211.0
62,53295.0
63,5083.0
64,53872.0
65,52789.0
66,53938.0
67,53438.0
68,53514.0
69,50289.0
70,53016.0
71,53943.0
72,52483.0
73,53473.0
74,53506.0
75,53598.0
76,38147.0
77,52973.0
78,51893.0
79,53165.0
80,53808.0
81,53877.0
82,53501.0
83,5091.0
84,53081.0
85,53692.0
86,53257.0
87,53748.0
88,53809.0
89,53193.0
90,5044.0
91,53744.0
92,53797.0
93,53509.0
94,53716.0
95,53725.0
96,50442.0
97,54000.0
98,53858.0
99,53730.0
100,53812.0
101,54036.0
102,53747.0
103,5047.0
104,53808.0
105,152.0
106,150.0
107,161.0
108,149.0
109,150.0
110,154.0
111,156.0
112,154.0
113,156.0
114,1007.0
115,199.0
116,151.0
117,149.0
118,154.0
119,155.0
120,239.0
121,148.0
122,151.0
123,150.0
124,156.0
125,155.0
126,153.0
127,154.0
128,155.0
129,151.0
130,153.0
131,151.0
132,162.0
133,153.0
134,157.0
