wavelength[nm],intensity [a.u.]
281.41,6.542471960506805
295.7,8.95402775927046
315.33,10.357266520922844
328.13,7.829630389150193
336.67,10.903457449075239
353.26,9.555701556014641
357.55,10.206218323189427
367.21,7.233455418621439
370.44,8.224699561967235
375.28,9.036463061964891
380.13,9.265207273417023
385.52,6.920671504248683
399.02,8.364973978438726
405.52,8.089789175789319
408.77,6.57507584059962
413.65,6.86484777797086
419.61,7.249215057114389
426.68,7.493873886783559
433.75,6.962243464266207
441.38,5.8971538676367405
448.47,6.19644412779452
456.66,6.091309882077698
464.32,5.921578419643816
470.89,5.493061443340548
481.32,5.147494476813453
490.66,5.351858133476067
505.53,5.1298987149230735
517.12,5.288267030694535
540.38,6.7357800142423265
573.76,7.524021415206125
579.35,7.915348169263078
583.26,8.106514516255185
589.41,8.134174272137903
594.44,8.071843149609158
600.04,8.01565761455734
604.53,7.89655270164304
610.14,7.455298485683291
616.88,7.004881989712859
622.51,7.151485463904735
629.26,7.793586803371584
636.58,8.171599480345463
644.48,8.53934599605737
652.39,8.889032571874742
660.31,9.19624144759668
668.24,9.188503677367008
677.31,8.950532836290382
685.26,8.235360643753348
714.3,7.130098510125578
724.58,8.105005537547246
736.02,8.838261682885651
747.48,9.350189267092581
760.11,9.598048758495088
772.76,9.82822506803558
784.29,7.257707677160043
799.87,6.7661917146603505
815.49,5.918893854273146
850.92,7.743269700829004
868.4,9.349493433368758
886.51,9.92896034850916
935.22,6.212606095751519
964.13,6.39024066706535
989.58,6.490723534502507
1043.72,8.186185994226083
