cycle,C1s,N1s,O1s,Si2p,Cl2p
0,0.0234018242,0.275562576,0.188879514,0.474088762,0.0380669086
1,0.023367457465289253,0.27531678614876026,0.18884430298347105,0.47446035134710746,0.03801068284214876
2,0.023333090730578515,0.27507099629752063,0.18880909196694215,0.47483194069421486,0.037954457084297524
3,0.02329872399586777,0.274825206446281,0.18877388095041323,0.4752035300413223,0.03789823132644628
4,0.023264357261157022,0.2745794165950413,0.1887386699338843,0.4755751193884298,0.03784200556859504
5,0.023229990526446274,0.27433362674380163,0.18870345891735535,0.47594670873553724,0.0377857798107438
6,0.023195623791735537,0.27408783689256194,0.18866824790082645,0.47631829808264464,0.03772955405289256
7,0.023161257057024792,0.2738420470413223,0.18863303688429753,0.4766898874297521,0.03767332829504132
8,0.023126890322314048,0.2735962571900826,0.1885978258677686,0.47706147677685956,0.03761710253719008
9,0.023092523587603307,0.273350467338843,0.18856261485123965,0.47743306612396696,0.03756087677933884
10,0.023058156852892565,0.2731046774876033,0.18852740383471073,0.4778046554710744,0.037504651021487596
11,0.023023790118181817,0.2728588876363636,0.1884921928181818,0.4781762448181819,0.037448425263636356
12,0.022989423383471076,0.272613097785124,0.1884569818016529,0.47854783416528923,0.03739219950578512
13,0.02295505664876033,0.2723673079338843,0.18842177078512395,0.4789194235123967,0.03733597374793388
14,0.022920689914049587,0.2721215180826446,0.18838655976859503,0.47929101285950415,0.03727974799008264
15,0.02288632317933884,0.27187572823140493,0.1883513487520661,0.4796626022066116,0.037223522232231396
16,0.0228519564446281,0.2716299383801653,0.1883161377355372,0.480034191553719,0.03716729647438016
17,0.022817589709917353,0.2713841485289256,0.18828092671900826,0.4804057809008265,0.03711107071652892
18,0.02278322297520661,0.27113835867768593,0.18824571570247933,0.48077737024793393,0.03705484495867768
19,0.02274885624049587,0.27089256882644625,0.1882105046859504,0.48114895959504134,0.03699861920082645
20,0.022714489505785123,0.2706467789752066,0.18817529366942146,0.4815205489421488,0.0369423934429752
21,0.022680122771074382,0.27040098912396693,0.18814008265289256,0.48189213828925626,0.03688616768512396
22,0.022645756036363637,0.2701551992727273,0.18810487163636364,0.4822637276363636,0.03682994192727273
23,0.022611389301652893,0.2699094094214876,0.1880696606198347,0.48263531698347106,0.03677371616942148
24,0.022577022566942148,0.2696636195702479,0.18803444960330576,0.4830069063305785,0.03671749041157024
25,0.022542655832231404,0.2694178297190082,0.18799923858677683,0.483378495677686,0.036661264653719
26,0.022508289097520662,0.2691720398677686,0.18796402757024794,0.4837500850247934,0.03660503889586777
27,0.022473922362809918,0.2689262500165289,0.187928816553719,0.48412167437190085,0.03654881313801653
28,0.02243955562809917,0.26868046016528924,0.18789360553719006,0.4844932637190083,0.03649258738016528
29,0.022405188893388432,0.2684346703140496,0.18785839452066114,0.4848648530661157,0.03643636162231405
30,0.022370822158677684,0.26818888046280986,0.18782318350413224,0.48523644241322317,0.03638013586446281
31,0.02233645542396694,0.26794309061157023,0.18778797248760332,0.4856080317603306,0.03632391010661157
32,0.022302088689256202,0.2676973007603306,0.18775276147107436,0.48597962110743803,0.036267684348760335
33,0.022267721954545454,0.2674515109090909,0.18771755045454544,0.4863512104545455,0.03621145859090909
34,0.022233355219834713,0.26720572105785123,0.18768233943801652,0.48672279980165295,0.03615523283305785
35,0.022198988485123965,0.26695993120661154,0.18764712842148762,0.4870943891487604,0.03609900707520661
36,0.022164621750413224,0.2667141413553719,0.18761191740495867,0.48746597849586776,0.03604278131735537
37,0.02213025501570248,0.26646835150413223,0.18757670638842974,0.4878375678429752,0.03598655555950413
38,0.022095888280991734,0.26622256165289254,0.18754149537190082,0.4882091571900827,0.03593032980165289
39,0.02206152154628099,0.26597677180165286,0.18750628435537192,0.4885807465371901,0.035874104043801654
40,0.02202715481157025,0.2657309819504132,0.18747107333884297,0.48895233588429754,0.03581787828595041
41,0.0219927880768595,0.26548519209917354,0.18743586232231405,0.489323925231405,0.035761652528099167
42,0.021958421342148756,0.26523940224793385,0.18740065130578512,0.48969551457851246,0.035705426770247926
43,0.02192405460743802,0.26499361239669417,0.18736544028925617,0.49006710392561986,0.03564920101239669
44,0.02188968787272727,0.26474782254545454,0.18733022927272724,0.4904386932727273,0.03559297525454545
45,0.02185532113801653,0.26450203269421485,0.18729501825619835,0.4908102826198348,0.035536749496694206
46,0.021820954403305785,0.2642562428429752,0.18725980723966942,0.49118187196694213,0.03548052373884297
47,0.02178658766859504,0.26401045299173553,0.18722459622314047,0.4915534613140496,0.03542429798099173
48,0.021752220933884295,0.26376466314049585,0.18718938520661155,0.49192505066115705,0.03536807222314049
49,0.021717854199173554,0.2635188732892562,0.18715417419008265,0.49229664000826445,0.03531184646528926
50,0.021683487464462806,0.26327308343801653,0.18711896317355373,0.4926682293553719,0.03525562070743801
51,0.021649120729752065,0.26302729358677684,0.18708375215702477,0.49303981870247937,0.03519939494958677
52,0.021614753995041324,0.2627815037355372,0.18704854114049585,0.4934114080495868,0.03514316919173554
53,0.02158038726033058,0.26253571388429753,0.18701333012396693,0.49378299739669423,0.03508694343388429
54,0.021546020525619835,0.26228992403305784,0.18697811910743803,0.4941545867438017,0.03503071767603305
55,0.021511653790909087,0.26204413418181816,0.18694290809090908,0.49452617609090915,0.03497449191818181
56,0.02147728705619835,0.2617983443305785,0.18690769707438015,0.49489776543801656,0.03491826616033058
57,0.0214429203214876,0.26155255447933884,0.18687248605785123,0.495269354785124,0.03486204040247934
58,0.021408553586776857,0.26130676462809915,0.18683727504132228,0.4956409441322315,0.03480581464462809
59,0.021374186852066115,0.2610609747768595,0.18680206402479338,0.4960125334793388,0.03474958888677686
60,0.02133982011735537,0.26081518492561984,0.18676685300826446,0.4963841228264463,0.03469336312892562
61,0.021305453382644623,0.26056939507438015,0.18673164199173553,0.49675571217355374,0.03463713737107438
62,0.02127108664793388,0.26032360522314046,0.18669643097520658,0.4971273015206612,0.03458091161322313
63,0.021236719913223137,0.2600778153719008,0.18666121995867768,0.4974988908677686,0.0345246858553719
64,0.021202353178512396,0.25983202552066115,0.18662600894214876,0.49787048021487607,0.03446846009752066
65,0.021167986443801648,0.25958623566942146,0.18659079792561983,0.4982420695619835,0.03441223433966942
66,0.02113361970909091,0.25934044581818183,0.18655558690909088,0.49861365890909093,0.03435600858181818
67,0.021099252974380166,0.25909465596694214,0.18652037589256196,0.4989852482561984,0.03429978282396694
68,0.021064886239669418,0.25884886611570246,0.18648516487603306,0.49935683760330585,0.0342435570661157
69,0.02103051950495868,0.25860307626446283,0.18644995385950414,0.4997284269504132,0.034187331308264464
70,0.020996152770247932,0.25835728641322314,0.18641474284297518,0.5001000162975207,0.03413110555041322
71,0.020961786035537187,0.25811149656198346,0.18637953182644626,0.5004716056446281,0.03407487979256198
72,0.02092741930082644,0.25786570671074377,0.18634432080991734,0.5008431949917356,0.03401865403471074
73,0.0208930525661157,0.25761991685950414,0.18630910979338844,0.501214784338843,0.033962428276859497
74,0.020858685831404954,0.25737412700826445,0.1862738987768595,0.5015863736859505,0.033906202519008256
75,0.020824319096694213,0.25712833715702477,0.18623868776033056,0.501957963033058,0.033849976761157016
76,0.02078995236198347,0.25688254730578514,0.18620347674380164,0.5023295523801653,0.03379375100330578
77,0.020755585627272727,0.25663675745454545,0.18616826572727269,0.5027011417272728,0.03373752524545454
78,0.020721218892561982,0.25639096760330576,0.1861330547107438,0.5030727310743802,0.0336812994876033
79,0.020686852157851234,0.2561451777520661,0.18609784369421487,0.5034443204214877,0.033625073729752056
80,0.020652485423140497,0.25589938790082645,0.18606263267768594,0.503815909768595,0.03356884797190082
81,0.02061811868842975,0.25565359804958676,0.186027421661157,0.5041874991157025,0.03351262221404958
82,0.020583751953719004,0.2554078081983471,0.18599221064462806,0.50455908846281,0.033456396456198335
83,0.020549385219008266,0.25516201834710744,0.18595699962809917,0.5049306778099174,0.0334001706983471
84,0.020515018484297518,0.25491622849586776,0.18592178861157024,0.5053022671570249,0.03334394494049586
85,0.02048065174958677,0.25467043864462807,0.1858865775950413,0.5056738565041323,0.03328771918264462
86,0.020446285014876033,0.25442464879338844,0.18585136657851237,0.5060454458512397,0.03323149342479339
87,0.020411918280165288,0.25417885894214876,0.18581615556198347,0.5064170351983471,0.03317526766694215
88,0.020377551545454543,0.25393306909090907,0.18578094454545455,0.5067886245454546,0.0331190419090909
89,0.020343184810743802,0.25368727923966944,0.1857457335289256,0.5071602138925619,0.03306281615123967
90,0.02030881807603306,0.25344148938842975,0.18571052251239667,0.5075318032396694,0.03300659039338843
91,0.020274451341322313,0.25319569953719007,0.18567531149586775,0.5079033925867769,0.03295036463553719
92,0.020240084606611565,0.2529499096859504,0.18564010047933885,0.5082749819338843,0.03289413887768594
93,0.020205717871900827,0.25270411983471075,0.1856048894628099,0.5086465712809918,0.03283791311983471
94,0.020171351137190083,0.25245832998347106,0.18556967844628097,0.5090181606280992,0.03278168736198347
95,0.020136984402479335,0.2522125401322314,0.18553446742975205,0.5093897499752067,0.03272546160413223
96,0.020102617667768597,0.2519667502809917,0.18549925641322315,0.509761339322314,0.03266923584628099
97,0.02006825093305785,0.25172096042975206,0.1854640453966942,0.5101329286694215,0.03261301008842975
98,0.020033884198347104,0.2514751705785124,0.18542883438016527,0.510504518016529,0.03255678433057851
99,0.01999951746363636,0.2512293807272727,0.18539362336363635,0.5108761073636364,0.03250055857272726
100,0.01996515072892562,0.25098359087603306,0.1853584123471074,0.5112476967107438,0.03244433281487603
101,0.019930783994214874,0.25073780102479337,0.1853232013305785,0.5116192860578512,0.03238810705702479
102,0.01989641725950413,0.2504920111735537,0.18528799031404958,0.5119908754049587,0.03233188129917355
103,0.01986205052479339,0.25024622132231406,0.18525277929752065,0.5123624647520661,0.03227565554132231
104,0.019827683790082644,0.25000043147107437,0.1852175682809917,0.5127340540991736,0.03221942978347107
105,0.019793317055371896,0.24975464161983468,0.18518235726446278,0.5131056434462811,0.032163204025619826
106,0.019758950320661158,0.24950885176859505,0.18514714624793388,0.5134772327933884,0.03210697826776859
107,0.019724583585950414,0.24926306191735534,0.18511193523140496,0.5138488221404959,0.032050752509917346
108,0.019690216851239666,0.24901727206611568,0.185076724214876,0.5142204114876033,0.031994526752066106
109,0.019655850116528928,0.24877148221487602,0.18504151319834708,0.5145920008347108,0.03193830099421488
110,0.01962148338181818,0.24852569236363636,0.18500630218181816,0.5149635901818183,0.03188207523636363
111,0.019587116647107435,0.24827990251239668,0.18497109116528926,0.5153351795289257,0.03182584947851239
112,0.01955274991239669,0.248034112661157,0.1849358801487603,0.5157067688760332,0.031769623720661146
113,0.01951838317768595,0.24778832280991736,0.18490066913223138,0.5160783582231405,0.03171339796280991
114,0.019484016442975205,0.24754253295867767,0.18486545811570246,0.516449947570248,0.03165717220495867
115,0.01944964970826446,0.247296743107438,0.1848302470991735,0.5168215369173554,0.03160094644710743
116,0.019415282973553712,0.2470509532561983,0.1847950360826446,0.5171931262644629,0.031544720689256185
117,0.019380916238842975,0.24680516340495867,0.18475982506611568,0.5175647156115702,0.03148849493140496
118,0.01934654950413223,0.24655937355371896,0.18472461404958676,0.5179363049586777,0.03143226917355371
119,0.019312182769421482,0.2463135837024793,0.1846894030330578,0.5183078943057852,0.03137604341570247
120,0.019277816034710744,0.24606779385123964,0.1846541920165289,0.5186794836528926,0.03131981765785124
121,0.0192489384,0.24573219199999993,0.18452978399999995,0.5192350040000001,0.03125318219999999
