,0
0,127.0
1,127.0
2,151.0
3,148.0
4,148.0
5,58185.0
6,41591.0
7,57286.0
8,56507.0
9,57369.0
10,56137.0
11,57538.0
12,58272.0
13,4924.0
14,58589.0
15,57513.0
16,57455.0
17,57861.0
18,57683.0
19,57944.0
20,4977.0
21,58137.0
22,58207.0
23,57957.0
24,58215.0
25,56897.0
26,50125.0
27,58204.0
28,57975.0
29,57870.0
30,56815.0
31,57952.0
32,56000.0
33,5050.0
34,58182.0
35,57812.0
36,57930.0
37,57795.0
38,57811.0
39,57852.0
40,5035.0
41,56811.0
42,56411.0
43,57533.0
44,57159.0
45,56124.0
46,55618.0
47,57512.0
48,57881.0
49,57268.0
50,57924.0
51,56765.0
52,57555.0
53,39978.0
54,57154.0
55,56449.0
56,57762.0
57,56354.0
58,57307.0
59,55940.0
60,5024.0
61,57748.0
62,56932.0
63,57574.0
64,57869.0
65,56262.0
66,58120.0
67,5048.0
68,58109.0
69,58268.0
70,57786.0
71,57870.0
72,55713.0
73,55475.0
74,6807.0
75,57859.0
76,56979.0
77,57941.0
78,56704.0
79,57902.0
80,55449.0
81,57939.0
82,153.0
83,150.0
84,547.0
85,135.0
86,403.0
87,151.0
88,148.0
89,152.0
90,149.0
91,153.0
92,158.0
93,155.0
94,230.0
95,154.0
96,153.0
97,149.0
98,153.0
99,148.0
100,153.0
101,155.0
102,149.0
103,2091.0
104,136.0
105,134.0
