wavelength[nm],intensity [a.u.]
281.41,6.259581464064923
295.7,8.659733878198347
315.33,10.278940088798224
327.58,7.62657020629066
336.67,10.896239200504729
352.72,9.393827915410107
357.01,10.328232275376248
366.68,7.083387847625295
370.44,8.061802274538348
374.74,8.959697146959389
380.13,9.226410552153677
385.52,6.617402977974478
390.92,7.781973234434385
393.62,7.751045117971802
399.02,8.281470857895167
404.98,8.077136638538454
408.77,6.320768294250582
413.65,6.590301048196686
419.61,7.050989447068045
426.13,7.465655310134056
433.75,6.894670039433482
440.29,5.768320995793772
448.47,6.035481432524756
456.11,6.035481432524756
464.32,5.726847747587197
470.89,5.384495062789089
480.22,5.135798437050262
490.66,5.231108616854587
517.12,4.948759890378168
539.27,6.437751649736401
573.2,7.16703787691222
578.79,7.518064181233078
583.26,7.740229524763182
588.29,7.745002803515839
593.32,7.674152921281675
598.92,7.641564441260972
605.09,7.5310163320779155
611.27,7.044032897274685
615.76,6.706862336602747
622.51,6.7912214627261855
628.7,7.377133712833954
636.58,7.803435056952168
644.48,8.129174996911793
651.82,8.479698986988657
659.74,8.793612071589308
667.1,8.811652248147043
676.74,8.535425959677298
684.12,7.9017475185201445
713.73,6.7464121285733745
724.58,7.757051142032013
736.02,8.441607204459642
747.48,8.916506080039204
759.53,9.13270310224903
772.19,9.346792495111682
785.44,6.80903930604298
799.87,6.3835066348840055
850.33,7.278628942320682
867.82,8.846640813100485
886.51,9.387062950369655
916.41,6.173786103901937
935.22,5.8664680569332965
963.54,5.991464547107982
988.99,6.115892125483034
1041.93,7.783640596221253
