wavelength[nm],intensity [a.u.]
295.7,4896
315.33,26321
336.67,49033
353.26,11599
357.01,27744
370.44,2736
375.28,7022
380.13,9124
391.46,2360
394.16,1826
399.02,3601
405.52,2810
426.13,1652
573.76,1061
578.79,1482
583.26,1856
588.85,1777
593.32,1704
600.04,1688
605.09,1549
611.27,918
630.39,1335
636.58,1914
643.35,2708
652.96,4081
660.31,5675
667.67,5398
676.17,4163
684.12,2294
724.01,1834
736.02,3855
746.33,6515
760.11,8187
770.46,10282
772.76,9924
852.08,1289
867.23,5930
885.34,10669
887.68,10126
1041.93,2051
